,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14
AC003005.1_hg,0.0,0.00027077816726206314,0.00018290007190470853,0.0,0.0,0.00019238704958720793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003092.1_hg,0.0,0.0,0.0016443879787256515,0.0,0.019199507534173783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003093.1_hg,0.0,0.001683687405440259,0.013194922191733932,0.0,0.0007263506333513939,0.0,0.0015808883072543972,0.00881192559736907,0.0,0.0,0.0,0.0,0.0,0.0,0.002757732564393677
AC003681.1_hg,0.0,0.4683372850873066,0.017651409229518276,0.0,0.05587593213478579,0.020137351297044512,0.02027479836778039,0.05586179646744745,0.0,0.0,0.07686428552910596,0.007440589952474492,0.04306962175157371,0.0,0.0045055233155717024
AC003684.1_hg,0.0,0.0015052052234720851,0.0,0.0018911878111281862,0.0005132646441458205,0.0,0.000202606935300757,0.0,0.0,0.0006178542195976775,0.0003994507583156508,0.0,0.0,0.0,0.0
AC003991.1_hg,0.0066366517402149765,0.09365182623231155,0.008043525386275684,0.004054063141093842,0.0,0.018961479174448855,0.0,0.01273090019673344,0.0,0.0011732879142245674,0.0,0.025139182770668646,0.0011335358071463567,0.0,0.015067687688917215
AC004039.1_hg,0.0,0.382196545467756,0.0,0.0,0.042713471121229814,0.03929900573092684,0.0,0.07240474644860562,0.04078604119599639,0.0,0.0,0.06960321506979941,0.03163582681196085,0.0304479387861365,0.08417398531229399
AC004231.3_hg,1.5897297043964794e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009474938174158684,0.0,4.1929260346988296e-05,0.000216046539499578
AC004466.2_hg,0.0,0.0,4.317253776668669e-05,0.0013199659798266527,0.0,0.0007945110041680043,0.0003229400086624041,0.0,0.0,5.4938983600495846e-05,0.0,0.0,0.0001997107079397186,0.001864407244628924,0.0018021738087755437
AC004471.2_hg,0.0,0.006762863694435621,0.0,0.0,0.0022095707831847585,0.0007385891652909772,0.0,0.0,0.0,0.0,0.0008990587418156445,0.010975829754346694,0.0,0.0056222054280548285,0.0
AC004494.1_hg,0.0,0.2518108179378927,0.01903047349258357,0.0,0.0019318850385010872,0.014533558032998797,0.003210223007756733,0.01074065112195941,0.0,0.0,0.03375720122276356,0.013487455286024764,0.010747850749685517,0.0,0.004968838638762199
AC004528.1_hg,0.0,0.2306376027895002,0.010184127022154658,0.001293109701511044,0.01565312853809021,0.0,0.010664680301201261,0.001707691661246849,0.0,0.0022421049278389506,0.02503769349777748,0.0,0.015742753953987217,0.0,0.0
AC004596.1_hg,0.0,0.0,3.2829690960030776e-05,0.0,0.0,0.0001587032919147272,0.0,0.0002369344183382112,0.0,0.0,0.0,0.0005980957575790585,0.0,0.0,0.0
AC004707.1_hg,0.0,0.0,7.285652450629885e-05,0.0,0.0,0.0,0.0,0.0005055595650576666,0.0,0.0,0.0,0.0,0.0,0.00011821356061607975,0.0
AC004817.2_hg,0.0,0.00039676073534461004,0.0007325681456928708,0.0,0.0013547278016522155,0.0,0.0,1.6004497061584327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004832.4_hg,0.0,0.0028852497815749878,0.0007401965246898228,0.002086333457390896,0.0018561060769259534,0.0,0.0003115626762116254,0.0006339413810770057,0.0,0.0,0.0,0.0,0.0008728151992917584,0.0017399674353163754,0.00041181584509657594
AC004847.1_hg,0.0,0.0005831548668408444,0.0,0.0010090464560695998,0.0005647773974661241,0.0,0.0,0.002182652387653666,8.11304121251973e-05,0.0,0.0,0.0,0.0,0.0,0.001700554710248212
AC004921.2_hg,0.0,0.34121478388348403,0.0018251901029617695,0.0,0.0,0.03613242655891356,0.016364822369435515,0.0,0.0,0.0,0.055700660443567473,0.004837767361361619,0.029203311040682998,0.0,0.029823360368888538
AC005005.4_hg,0.0,0.3063582225437031,0.02563601351734254,0.0,0.0,0.024800870357579923,0.012782647367155796,0.0,0.0,0.0,0.07911896825540733,0.042755217924573034,0.024651320587233093,0.0,0.0
AC005050.1_hg,4.549896203432134e-06,0.006851759848513164,0.05159001767128104,0.020337906510795912,0.0,0.0,0.0,0.01579964902107072,0.0,0.0,0.0,0.003870467461461792,0.0,0.015361843703791544,0.0
AC005089.1_hg,0.0,0.3210162347465605,0.09874749409284102,0.09121506445617758,0.013235774932322543,0.0,0.0,0.0,0.0,0.03074798987874022,0.041743618135664774,0.19853693920996024,0.0,0.0,0.0
AC005165.1_hg,0.0,0.0036969643083109736,0.028439188275096502,0.0011321164099887574,0.0010234590010113826,0.0,0.0013831638956881625,0.003762830462231762,0.0,0.0,0.0,0.0,0.0,0.0,0.0048375830830895234
AC005208.1_hg,0.0,0.1666380655725871,0.09862496911858155,0.028395120943674218,0.07401501216996732,0.03669587514421828,0.0,0.11247629659339442,0.03517117141006961,0.0027591395350035465,0.0,0.015533371192062714,0.0,0.045834365599243955,0.0
AC005224.2_hg,0.0,0.037949095383329495,0.03853842187497688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323963759099791,0.11392876726735547,0.0,0.0,0.1626471447935083
AC005262.2_hg,0.0,0.0,0.00010172572879354009,0.0,0.0010326554701892386,3.186251873205588e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005277.1_hg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003109062829332,0.0,0.0,0.0,0.0
AC005498.3_hg,0.0,0.000753773586440936,0.0006061570222845815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008610521209106085
AC005540.1_hg,0.0,0.0,3.097697055970988e-05,0.0,0.0,8.183849267959836e-05,1.192164532576233e-05,0.0,0.0,0.0,0.0,8.633371403566382e-05,0.0,0.0,0.0
AC005670.3_hg,0.0,0.7189797097710828,0.49620595698438064,0.5013660811832887,0.2466192571462587,0.141224305554571,0.06525761012362434,0.28005934304813007,0.0,0.002700151724307094,0.010072645700391332,0.11215256466904733,0.2638033080550929,0.1527403868317598,0.5725704390512562
AC005796.1_hg,0.0,0.0,0.0,0.0,0.00040436429227191993,0.0,0.0,4.4194918156486676e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.861877244157315e-05
AC005808.1_hg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005353215606558908,0.0,0.0,0.0,0.002572948015180001,0.0,0.0,0.0
AC005838.2_hg,0.006955894192031705,0.3599684808124344,0.14938201874825302,0.02862181854363059,0.14823636725526426,0.024357698304811357,0.0,0.04593406907636107,0.022757804329713655,0.007047636427498242,0.0,0.2618413768655769,0.0,0.04980441420366754,0.09948536870906574
AC005921.4_hg,0.0,0.0011618700756792107,0.0,0.00018357267261587634,0.0,0.0,0.00017030257754540402,0.0,0.0,0.0,0.0,0.0,0.0,0.0009275245141277373,0.0
AC005954.1_hg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.773557658256705e-05,0.0,0.0,0.0,7.791892495061033e-05,0.0,0.0,8.081424172529834e-05
AC006128.1_hg,0.0,0.0,0.0,7.673116324458882e-05,0.0008752785503542315,0.0,0.0,0.00022908484054148988,9.336908911399238e-05,0.0,0.0,0.0,4.245007559438893e-06,0.0,0.0
AC006148.1_hg,0.01418981339600197,0.04620182497408494,0.0008625825432020715,0.0,0.018995943095804865,0.0053553132381265935,0.0023476209041595813,0.019470353398998042,0.0,0.01064381912471051,0.00012249232996766092,0.0,0.006049757454719028,0.0,0.00017317306893293414
AC006213.1_hg,0.0,0.0005381480483407054,0.0059065689355037,0.0044740141095342065,0.0032027584680867282,0.0,0.0010507939653824445,0.003495943762318033,0.0,0.0,0.0,0.0,0.0,0.0,0.0007741793986161653
AC006369.1_hg,0.0,0.0,0.09381509753345674,0.0,0.10477675287175019,0.0,0.013524887352460047,0.06419693817689347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006398.1_hg,0.0,0.0,0.0003940340305478216,0.0,0.0,8.358162728287047e-05,2.292924127675402e-05,7.304559726615376e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006435.2_hg,0.0,0.10358664367550297,0.012508946140745604,0.0,0.00753547333904303,0.0,0.0,0.0,0.0,0.0,0.02469228075453362,0.055598306816531745,0.0,0.0,0.0
AC006450.3_hg,0.0,0.0001788046854664183,0.0,0.0,0.00013410033615316447,0.0,0.0,0.0,0.0,0.0,2.4978532018744343e-05,0.0,0.000281405069509961,0.0,0.0
AC006460.1_hg,0.0,0.009323599029325638,0.0012554701753848224,0.02471748075504295,0.112162050809531,0.015270544295015035,0.0,0.016109961271675785,0.0,0.0,0.0,0.0,0.0,0.0,0.0
